true,shuffle,session_name
0.9141139697404297,0.480629699593864,ESHOCK_03_LOC1
0.8595445825681736,0.419441317232675,ESHOCK_04_LOC1
0.7803989220230845,0.4458948274800985,ESHOCK_06_LOC1
0.9432320225462977,0.4183035406296852,ESHOCK_07_LOC1
0.9906614182894866,0.4526544475784422,ESHOCK_08_LOC1
0.9634351834114986,0.4043722597705625,ESHOCK_09_LOC1
0.9285578523542346,0.41956717658561554,hamilton_10
0.7898191744280163,0.46502498964498307,hamilton_03
0.8112749930904684,0.48408961337248807,hamilton_04
0.8557614980036561,0.4145734158981694,hamilton_09
0.764900241896492,0.3890614053914411,acute_15
0.9721191882117486,0.4879659627652059,acute_16
0.7284502346358046,0.47014661855510304,acute_14
0.9803756179274077,0.44438069014261183,acute_12
0.8519522635064517,0.4104440240084376,acute_11
