true,session_name,dropout
0.8882407907348233,ESHOCK_03_LOC1,sr
0.8285895079068231,ESHOCK_04_LOC1,sr
0.7531920717912024,ESHOCK_06_LOC1,sr
0.9257773468182539,ESHOCK_07_LOC1,sr
0.9873916835963618,ESHOCK_08_LOC1,sr
0.9558981660145862,ESHOCK_09_LOC1,sr
0.8278380806521504,hamilton_10,sr
0.5490269120632553,hamilton_03,sr
0.7627815173906709,hamilton_04,sr
0.8993197278911564,hamilton_09,sr
0.7636236353552645,acute_15,sr
0.9714825350049224,acute_16,sr
0.6957555705494924,acute_14,sr
0.9690537616947914,acute_12,sr
0.8562758265414911,acute_11,sr
0.88305495127667,ESHOCK_03_LOC1,sir
0.8673006599218809,ESHOCK_04_LOC1,sir
0.7894395810505364,ESHOCK_06_LOC1,sir
0.9342487531343547,ESHOCK_07_LOC1,sir
0.9892270237548857,ESHOCK_08_LOC1,sir
0.964731125050783,ESHOCK_09_LOC1,sir
0.9272164630097931,hamilton_10,sir
0.7842228354326708,hamilton_03,sir
0.8111454996025037,hamilton_04,sir
0.8511374807885316,hamilton_09,sir
0.741692519995601,acute_15,sir
0.9748633580324384,acute_16,sir
0.7181065546402434,acute_14,sir
0.9780694770442665,acute_12,sir
0.8456735678553512,acute_11,sir
0.9105476492909019,ESHOCK_03_LOC1,ff
0.8088198969558306,ESHOCK_04_LOC1,ff
0.7528202728828614,ESHOCK_06_LOC1,ff
0.9402571850752386,ESHOCK_07_LOC1,ff
0.9671421217319851,ESHOCK_08_LOC1,ff
0.9431942062626671,ESHOCK_09_LOC1,ff
0.926772075631999,hamilton_10,ff
0.794251592254664,hamilton_03,ff
0.8114272318850073,hamilton_04,ff
0.844964603656552,hamilton_09,ff
0.7364634177397372,acute_15,ff
0.9024658954110985,acute_16,ff
0.7052211211227323,acute_14,ff
0.9719433330864007,acute_12,ff
0.8468434537480688,acute_11,ff
