,session_name,k,L,bin_width,score
0,ESHOCK_03_LOC1,6,10,0.05,0.03975158837677325
1,ESHOCK_03_LOC1,6,10,0.1,0.02372456332383416
2,ESHOCK_03_LOC1,6,10,0.5,-0.001811013319891988
3,ESHOCK_03_LOC1,6,10,1.0,-0.0019037262128666229
4,ESHOCK_04_LOC1,6,10,0.05,0.014699067283288141
5,ESHOCK_04_LOC1,6,10,0.1,0.002829322980554074
6,ESHOCK_04_LOC1,6,10,0.5,-0.061942685967185725
7,ESHOCK_04_LOC1,6,10,1.0,-0.0611649752352226
8,ESHOCK_06_LOC1,6,10,0.05,0.007739238284514916
9,ESHOCK_06_LOC1,6,10,0.1,0.011742614148229911
10,ESHOCK_06_LOC1,6,10,0.5,-0.016310192068205626
11,ESHOCK_06_LOC1,6,10,1.0,-0.008794939684948053
12,ESHOCK_07_LOC1,6,10,0.05,0.013452425441309744
13,ESHOCK_07_LOC1,6,10,0.1,0.01604590043495852
14,ESHOCK_07_LOC1,6,10,0.5,0.012163432695022305
15,ESHOCK_07_LOC1,6,10,1.0,-0.027527407425968067
16,ESHOCK_08_LOC1,6,10,0.05,-0.0021354372648612
17,ESHOCK_08_LOC1,6,10,0.1,-0.08269411553733069
18,ESHOCK_08_LOC1,6,10,0.5,-0.009648314276373991
19,ESHOCK_08_LOC1,6,10,1.0,-0.11694908141447241
20,ESHOCK_09_LOC1,6,10,0.05,0.0141862621206593
21,ESHOCK_09_LOC1,6,10,0.1,0.012744678606841291
22,ESHOCK_09_LOC1,6,10,0.5,-0.09676185154652343
23,ESHOCK_09_LOC1,6,10,1.0,-0.09217269360594507
24,hamilton_10,6,10,0.05,0.09973900088928371
25,hamilton_10,6,10,0.1,0.11512522053432829
26,hamilton_10,6,10,0.5,0.025876518765664654
27,hamilton_10,6,10,1.0,0.020120840554879085
28,hamilton_03,6,10,0.05,0.0006987957228779127
29,hamilton_03,6,10,0.1,-0.026779181206446633
30,hamilton_03,6,10,0.5,-0.046016974887184516
31,hamilton_03,6,10,1.0,-0.05167161998143592
32,hamilton_04,6,10,0.05,-0.033593408226683524
33,hamilton_04,6,10,0.1,-0.03755800941435053
34,hamilton_04,6,10,0.5,-0.03439709689237559
35,hamilton_04,6,10,1.0,-0.038828495148369474
36,hamilton_09,6,10,0.05,0.01864901852146207
37,hamilton_09,6,10,0.1,-0.08222435801783014
38,hamilton_09,6,10,0.5,-0.02643298390017725
39,hamilton_09,6,10,1.0,-0.024971655924906133
40,hamilton_31,6,10,0.05,0.00170292723173503
41,hamilton_31,6,10,0.1,0.004659133341641627
42,hamilton_31,6,10,0.5,-0.006373750005440479
43,hamilton_31,6,10,1.0,-0.008913842189923315
44,hamilton_38,6,10,0.05,0.01739631994595176
45,hamilton_38,6,10,0.1,-9.26788033796534e-05
46,hamilton_38,6,10,0.5,-0.020033205064409563
47,hamilton_38,6,10,1.0,-0.01390158619845472
48,hamilton_37,6,10,0.05,0.0044423184916200205
49,hamilton_37,6,10,0.1,0.0012206544725382317
50,hamilton_37,6,10,0.5,-0.016308963868296524
51,hamilton_37,6,10,1.0,-0.02145545993708939
52,hamilton_35,6,10,0.05,0.035132514551370994
53,hamilton_35,6,10,0.1,0.0436306661545047
54,hamilton_35,6,10,0.5,0.02294854376919623
55,hamilton_35,6,10,1.0,0.03651356738941572
56,hamilton_36,6,10,0.05,0.01682283579747319
57,hamilton_36,6,10,0.1,-0.00014619153797987812
58,hamilton_36,6,10,0.5,-0.013754008241900682
59,hamilton_36,6,10,1.0,-0.007843053367669963
60,hamilton_32,6,10,0.05,0.02319033393339745
61,hamilton_32,6,10,0.1,0.005226537217790827
62,hamilton_32,6,10,0.5,-0.01863147829085232
63,hamilton_32,6,10,1.0,-0.025532037548866914
64,acute_15,6,10,0.05,0.02877271503911524
65,acute_15,6,10,0.1,-0.009473767009174624
66,acute_15,6,10,0.5,-0.03732471100225469
67,acute_15,6,10,1.0,-0.033803584305400265
68,acute_16,6,10,0.05,0.03020020647256091
69,acute_16,6,10,0.1,0.024433417461294404
70,acute_16,6,10,0.5,-0.025135457192650614
71,acute_16,6,10,1.0,-0.017104583009259117
72,acute_01,6,10,0.05,0.020115015442699287
73,acute_01,6,10,0.1,0.025457277570947522
74,acute_01,6,10,0.5,-0.010493565160822005
75,acute_01,6,10,1.0,-0.012735524996149526
76,acute_14,6,10,0.05,0.020495391179445235
77,acute_14,6,10,0.1,0.01311591982555289
78,acute_14,6,10,0.5,-0.006337130853051546
79,acute_14,6,10,1.0,-0.010316985921367663
80,acute_12,6,10,0.05,0.00620610429011444
81,acute_12,6,10,0.1,0.0017584048736400376
82,acute_12,6,10,0.5,-0.027108735727508753
83,acute_12,6,10,1.0,-0.039833839192961226
84,acute_11,6,10,0.05,0.003377498718234038
85,acute_11,6,10,0.1,0.005561980384980004
86,acute_11,6,10,0.5,-0.007341823326188541
87,acute_11,6,10,1.0,-0.012936263293280388
